team_a_name,team_a_score,team_b_name,team_b_score,winner
fleabitten,691,Hurrikeynes,-691,fleabitten
IeetChips,49,GoKinCobra,-49,IeetChips
Third Mid,338,Icy,-338,Third Mid
Flush Boys,-176,Jeff Lynne,176,Jeff Lynne
LadyMooseLizardPhi,687,player1,-687,LadyMooseLizardPhi
Flush Boys,-471,AAAKJ,471,AAAKJ
testing,-272,Jigglybluff,272,Jigglybluff
pkr face,437,Jeff Lynne,-437,pkr face
player1,-2239,GoKinCobra,2239,GoKinCobra
reference_staff,-1839,<^-^>,1839,<^-^>
Hurrikeynes,-1331,PokerBrots,1331,PokerBrots
reference_lecture_2,1359,Heffalump Rangers,-1359,reference_lecture_2
reference_random,-790,LadyMooseLizardPhi,790,LadyMooseLizardPhi
Third Mid,687,AP,-687,Third Mid
andrew's bots,-323,AAAKJ,323,AAAKJ
pkr face,-141,Jigglybluff,141,Jigglybluff
<^-^>,95,21,-95,<^-^>
kaonashi,207,GoKinCobra,-207,kaonashi
preflop all in,1184,Icy,-1184,preflop all in
B),1860,Third Mid,-1860,B)
B),-789,preflop all in,789,preflop all in
SWEET BUT SALTY,122,pkr face,-122,SWEET BUT SALTY
Boners '22,61,<^-^>,-61,Boners '22
Hurrikeynes,-871,Jeff Lynne,871,Jeff Lynne
Kappa Sigma C Team,2741,player1,-2741,Kappa Sigma C Team
pls STOP we BROKE,156,yeet,-156,pls STOP we BROKE
21,-83,AAAKJ,83,AAAKJ
testing,364,<^-^>,-364,testing
andrew's bots,2350,AlphaFish,-2350,andrew's bots
Flush Boys,32,Third Mid,-32,Flush Boys
fleabitten,184,SWEET BUT SALTY,-184,fleabitten
B),-26,Bananarchist,26,Bananarchist
player1,-905,YEE,905,YEE
fleabitten,405,kaonashi,-405,fleabitten
21,-103,LadyMooseLizardPhi,103,LadyMooseLizardPhi
andrew's bots,518,AlphaFish,-518,andrew's bots
No One,-825,Boners '22,825,Boners '22
AP,-1093,my bad,1093,my bad
Team Name,110,Blind Plays,-110,Team Name
Army Leggy,4184,Diamond Dogs,-4184,Army Leggy
Icy,721,Heffalump Rangers,-721,Icy
reference_staff,3395,LadyMooseLizardPhi,-3395,reference_staff
:),701,AP,-701,:)
Jeff Lynne,893,PotHotBot,-893,Jeff Lynne
BadBeatBot,874,Power JEM ,-874,BadBeatBot
kaonashi,-2783,PokerBrots,2783,PokerBrots
player1,8437,reference_random,-8437,player1
Bananarchist,514,Power JEM ,-514,Bananarchist
player1,-1469,Jeff Lynne,1469,Jeff Lynne
:),158,kaonashi,-158,:)
Queens Club,-419,maybenot,419,maybenot
Boners '22,182,Daniel Negreanu,-182,Boners '22
testing,-20,Jeff Lynne,20,Jeff Lynne
Third Mid,-789,PotHotBot,789,PotHotBot
AlphaOne,187,kaonashi,-187,AlphaOne
ChocolateWarriors,1111,reference_random,-1111,ChocolateWarriors
Jigglybluff,176,GoKinCobra,-176,Jigglybluff
Bananarchist,171,TeamRocket,-171,Bananarchist
testing,510,PokerBrots,-510,testing
ChocolateWarriors,290,player1,-290,ChocolateWarriors
player1,-583,BluffBot,583,BluffBot
SWEET BUT SALTY,264,21,-264,SWEET BUT SALTY
Third Mid,22,TeamRocket,-22,Third Mid
<^-^>,-259,PotHotBot,259,PotHotBot
AAAKJ,98,andrew's bots,-98,AAAKJ
andrew's bots,3931,Daniel Negreanu,-3931,andrew's bots
Team Name,-205,:),205,:)
player1,-1216,AlphaOne,1216,AlphaOne
SWEET BUT SALTY,668,Hurrikeynes,-668,SWEET BUT SALTY
Team Name,152,Flush Boys,-152,Team Name
reference_lecture_1,-11214,PokerBrots,11214,PokerBrots
Daniel Negreanu,322,AlphaOne,-322,Daniel Negreanu
Hurrikeynes,-3479,21,3479,21
No One,-657,Boners '22,657,Boners '22
:),626,Queens Club,-626,:)
my bad,2799,player1,-2799,my bad
reference_lecture_1,-846,Boners '22,846,Boners '22
Heffalump Rangers,5587,BadBeatBot,-5587,Heffalump Rangers
SWEET BUT SALTY,373,<^-^>,-373,SWEET BUT SALTY
Third Mid,-241,andrew's bots,241,andrew's bots
Queens Club,-618,maybenot,618,maybenot
PotHotBot,175,¡WHAM!,-175,PotHotBot
IeetChips,61,GoKinCobra,-61,IeetChips
SWEET BUT SALTY,434,Queens Club,-434,SWEET BUT SALTY
kaonashi,342,CC Star,-342,kaonashi
Daniel Negreanu,-145,SWEET BUT SALTY,145,SWEET BUT SALTY
Heffalump Rangers,-1832,andrew's bots,1832,andrew's bots
pkr face,142,BluffBot,-142,pkr face
Blind Plays,-3,Jeff Lynne,3,Jeff Lynne
ChocolateWarriors,1368,reference_random,-1368,ChocolateWarriors
Queens Club,-615,BadBeatBot,615,BadBeatBot
reference_lecture_1,-10329,<^-^>,10329,<^-^>
ChocolateWarriors,1389,reference_random,-1389,ChocolateWarriors
