anonymous_id,total_gold,stack_1,stack_2,stack_3,stack_4,stack_5,stack_6,stack_7,stack_8,stack_9
a8117162-1168-4faf-b0ae-002a1a69f933,3306,53,109,104,108,103,100,134,150,139
914b2c39-d74e-415d-8295-bc918054800f,3305,111,111,111,111,111,111,111,112,111
bf5f8def-b180-49c3-97cb-03f49dcc23b8,3297,50,75,75,97,1,300,400,1,1
09904f0f-190a-48c2-b305-a5e59d26bfae,3292,10,20,30,0,130,140,260,410,0
dd76a1ea-f5d2-491b-b191-eae6b8908457,3288,38,28,27,108,99,90,169,20,421
3dd4f7b4-72e2-4c0b-99c9-b90a80455ed3,3283,0,0,0,0,202,204,261,333,0
87c5d584-8d6b-41fb-b7d2-da104e454226,3278,0,0,0,0,0,0,333,333,334
29053d1b-40e2-48c9-9e65-94aefd9dfe1d,3268,11,121,112,111,101,141,201,201,1
ee93bdf9-4724-4afe-b033-a7d59878176b,3267,2,144,144,144,144,144,144,132,2
8e19112b-5de1-4dc4-b9f4-a97b5f183248,3266,5,66,305,227,5,168,4,81,139
5c512d74-63e4-4e57-8f06-804c8079ba96,3262,43,87,130,174,0,261,305,0,0
aa7d2781-6c88-4695-ade7-9912fe544c9d,3261,115,115,115,115,115,136,285,2,2
b5ad7214-edb0-41f7-b48d-afa339ba8710,3253,53,20,20,108,99,90,169,20,421
991c794f-7716-4d9c-8f82-b1488255e530,3242,100,100,150,225,125,100,50,100,50
6b181b2b-f33d-4981-9923-c1c9c3cd920a,3229,0,0,60,100,180,260,400,0,0
5540a802-df7a-4828-86bb-fbf0a4419f94,3214,0,0,0,0,0,333,0,333,334
42181eb2-4cd8-4d1e-b97b-f56cd1c9d005,3207,2,4,8,16,32,64,122,251,501
80e44b5b-b9cd-4cd4-809a-f0311fe018da,3200,0,0,0,0,100,150,200,250,300
1de150c7-b81f-41b8-a8b5-538da4f700df,3198,124,124,124,124,124,124,124,124,8
e6032793-3489-4cd7-8bbe-86e48c79472d,3173,0,0,150,50,0,0,300,100,400
04c5a1c2-db0c-4dd2-8bc2-3123ca2f03da,3159,100,100,100,0,0,0,300,200,200
07b77561-50ef-440a-a4f9-4346469fddc0,3154,0,0,0,1,1,199,399,1,399
809bee51-95e7-41e7-a53e-fe3152f1532e,3140,1,1,1,1,1,1,201,301,492
644dd0d5-0d0b-49ec-aa62-9d599e94fd48,3109,0,100,0,0,0,267,300,333,0
4060592a-c065-45f6-8228-2da7e114098c,3034,0,0,100,100,100,100,200,0,400
dd5dfef4-6104-4506-9341-eef84696ef30,2954,2,2,2,115,115,115,115,532,2
0b82aabf-6f4b-4e66-b9b6-c66a8e1351df,2892,0,0,0,0,0,0,249,249,502
9e233339-42ed-4f6e-b4ca-77adb41291d1,2840,98,98,98,98,98,501,3,3,3
8768a209-5f63-4f86-afdc-52a1c4657e76,2794,0,0,0,0,251,326,423,0,0
2c2eda10-f7ba-4f79-b49e-95e11b5263ae,2759,0,0,300,0,0,0,300,100,300
26c38d06-80a4-4cc1-860d-1bef753bde5d,2724,100,250,250,50,100,50,50,50,100
7bcd2b14-eaac-4e99-a264-c8f4d35989fe,2616,0,0,100,0,0,0,300,0,600
0ac6836a-32ef-44b2-bf70-8f7ee2cd41fc,2331,0,0,0,0,0,400,0,0,600
9afab8b3-52b3-40a8-8f2c-153397fc4e96,1896,0,0,0,0,0,706,224,70,0
385bad3e-9fa2-4108-be9e-b38fdddd7552,1818,1,1,1,1,1,1,1,1,992
e9cc9306-57c2-4534-8858-9cd5980b7f73,1708,0,0,0,0,0,11,8,4,977
823fb9b2-6b4a-44c8-a529-c4947114ba33,1106,0,0,0,0,0,0,1000,0,0
